Cruise	Latitude	Longitude	T7-Like B	T7-Like A	T7-tot	T4 like	Tot V	%I Syn T7 B	%I Syn T7 A	%I Syn T7	%I T4 Syn	%I Syn Tot	%I Pro T7 B	%I Pro T7 A	%I T7 	%I T4 Pro	%I Pro Tot
"G2"	38.70	-158.00	3.90E+05	1.08E+05	1.92E+05	1.05E+04	2.02E+05	NA	NA	NA	NA	NA	NA	NA	NA		NA
"G2"	39.24	-158.01	7.70E+03	8.88E+04	1.65E+05	1.50E+03	1.67E+05	0.25	0.06	0.31	0.63	0.94	2.05	0.00	2.05	2.05	2.05
"G2"	39.77	-158.00	5.99E+03	1.74E+03	6.41E+04	1.09E+03	6.52E+04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	40.35	-158.00	3.84E+03	1.63E+03	4.65E+04	1.90E+02	4.67E+04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	40.98	-158.00	3.42E+03	2.81E+03	4.20E+04	1.07E+02	4.21E+04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	41.72	-158.00	0.00E+00	2.44E+03	2.14E+05	0.00E+00	2.14E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	42.35	-158.00	8.52E+03	2.14E+03	4.34E+04	2.14E+02	4.37E+04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	41.43	-158.01	2.56E+03	2.07E+03	1.08E+05	1.14E+03	1.09E+05	0.21	0.02	0.23	0.60	0.83	0.00	0.00	0.00	0.00	0.00
"G2"	41.42	-158.00	2.57E+03	9.21E+02	9.47E+04	8.45E+02	9.56E+04	0.60	0.01	0.61	0.69	1.30	0.00	0.00	0.00	0.00	0.00
"G2"	40.50	-158.00	3.84E+03	1.77E+03	7.04E+04	1.40E+03	7.18E+04	0.33	0.27	0.59	0.65	1.24	0.00	0.00	0.00	0.00	0.00
"G2"	38.94	-158.00	2.28E+05	5.12E+04	2.71E+05	2.27E+03	2.73E+05	1.11	0.49	1.60	1.11	2.71	1.52	0.19	1.71	0.52	0.71
"G2"	38.00	-158.00	5.03E+04	1.58E+05	1.95E+05	2.53E+03	1.98E+05	0.39	0.64	1.03	1.66	2.69	0.59	0.55	1.14	0.66	1.21
"G2"	37.50	-158.00	1.26E+06	1.10E+05	5.87E+05	1.59E+04	6.02E+05	3.76	1.66	5.43	3.45	8.87	5.30	0.68	5.98	3.51	4.20
"G2"	36.60	-158.01	1.13E+06	7.08E+04	5.58E+05	2.88E+03	5.61E+05	2.84	0.19	3.03	1.43	4.45	3.21	0.18	3.38	1.83	2.01
"G2"	37.01	-158.00	1.17E+06	7.64E+04	6.58E+05	3.12E+03	6.61E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	36.00	-158.00	1.07E+06	6.26E+04	6.40E+05	2.53E+03	6.43E+05	3.86	1.09	4.95	2.55	7.50	4.08	0.47	4.54	1.45	1.92
"G2"	35.40	-157.98	1.01E+06	5.45E+04	5.84E+05	2.18E+03	5.87E+05	2.93	0.12	3.05	2.02	5.07	2.71	0.22	2.94	2.04	2.26
"G2"	34.50	-158.00	9.25E+05	4.21E+04	5.77E+05	1.65E+03	5.78E+05	3.90	0.00	3.90	1.85	5.75	2.73	0.26	3.00	1.13	1.39
"G2"	34.02	-158.00	6.13E+05	1.96E+04	5.40E+05	1.87E+03	5.42E+05	3.29	0.21	3.50	1.77	5.26	2.91	0.17	3.08	0.80	0.97
"G2"	34.02	-158.65	5.62E+05	2.64E+04	5.45E+05	1.09E+03	5.46E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	32.76	-158.00	5.53E+05	2.48E+04	4.83E+05	1.37E+03	4.85E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	32.57	-158.00	5.26E+05	9.40E+03	4.71E+05	4.28E+02	4.71E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G2"	32.00	-158.00	4.23E+05	9.82E+03	4.00E+05	2.38E+02	4.00E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	26.28	-158.00	2.38E+04	0.00E+00	3.23E+05	3.23E+05	6.47E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	29.45	-158.00	6.13E+04	0.00E+00	3.54E+05	3.54E+05	7.09E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	30.13	-158.00	8.11E+04	0.00E+00	2.82E+05	2.82E+05	5.63E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	30.51	-158.00	9.48E+04	0.00E+00	1.60E+05	1.60E+05	3.19E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	31.26	-158.00	8.10E+04	0.00E+00	2.29E+05	2.29E+05	4.58E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	32.02	-158.00	1.33E+05	0.00E+00	2.97E+05	2.97E+05	5.94E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	32.41	-157.60	1.30E+05	0.00E+00	3.53E+05	3.53E+05	7.06E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	33.16	-157.60	3.56E+05	0.00E+00	2.82E+05	2.82E+05	5.64E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	33.53	-157.60	3.14E+05	0.00E+00	3.65E+05	3.65E+05	7.31E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	34.28	-158.00	4.10E+05	0.00E+00	4.64E+05	4.64E+05	9.29E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	35.04	-158.00	4.93E+05	0.00E+00	5.89E+05	5.89E+05	1.18E+06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	35.42	-157.60	3.80E+05	5.95E+02	4.21E+05	4.21E+05	8.42E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	36.19	-157.60	4.62E+05	0.00E+00	5.35E+05	5.35E+05	1.07E+06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	36.55	-158.00	3.06E+05	5.94E+02	3.35E+05	3.35E+05	6.70E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	40.13	-157.60	8.84E+04	0.00E+00	4.78E+04	4.78E+04	9.57E+04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	39.37	-158.00	3.56E+03	0.00E+00	1.90E+04	1.90E+04	3.80E+04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	38.48	-157.60	1.27E+05	0.00E+00	1.93E+05	1.93E+05	3.86E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	38.04	-158.00	1.91E+05	0.00E+00	1.86E+05	1.86E+05	3.72E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	37.14	-158.00	3.67E+05	0.00E+00	4.92E+05	4.92E+05	9.84E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	42.20	-157.60	4.07E+05	1.18E+03	3.21E+05	3.21E+05	6.42E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	37.18	-158.00	6.33E+05	0.00E+00	3.99E+05	3.99E+05	7.99E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	36.55	-158.00	5.57E+05	3.59E+03	2.11E+05	2.11E+05	4.22E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	36.20	-157.60	5.16E+05	5.33E+03	4.55E+05	4.55E+05	9.10E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	35.42	-157.60	5.82E+04	0.00E+00	8.22E+04	8.22E+04	1.64E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	35.03	-157.60	1.67E+05	2.37E+03	7.03E+04	7.03E+04	1.41E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	34.27	-157.60	6.53E+03	3.56E+03	5.00E+04	5.00E+04	1.00E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	33.53	-158.00	4.04E+04	3.55E+03	7.90E+04	7.90E+04	1.58E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	33.16	-157.60	3.55E+03	5.95E+02	2.65E+04	2.65E+04	5.30E+04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	32.40	-158.00	5.35E+03	0.00E+00	8.77E+04	8.77E+04	1.75E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"G3"	32.02	-158.00	4.75E+03	0.00E+00	6.00E+04	6.00E+04	1.20E+05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
